"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"335","b",196,2.5,"u","g","cc","bb",0.5,"f","f",0,"f","g",112,0,"-"
"336","b",125,0.75,"u","g","q","h",0.165,"f","f",0,"t","g",77,251,"-"
"337","b",279,6.5,"u","g","c","v",1,"f","f",0,"t","g",2,228,"-"
"338","a",197,1.25,"y","p","i","h",0.5,"f","f",0,"t","g",54,0,"-"
"339","a",182,3,"y","p","aa","v",2,"f","f",0,"f","g",64,0,"-"
"340","b",128,3,"u","g","w","v",0.75,"f","f",0,"t","g",102,67,"-"
"341","a",230,4,"u","g","c","v",3,"f","f",0,"f","g",149,0,"-"
"342","b",258,4.085,"u","g","aa","v",0.04,"f","f",0,"f","g",35,100,"-"
"343","b",118,2.25,"u","g","i","bb",0.5,"f","f",0,"t","g",162,4000,"-"
"344","b",186,2.75,"u","g","i","bb",0,"f","f",0,"f","g",64,0,"-"
"345","b",228,1.75,"u","g","k","v",0.5,"f","f",0,"t","g",102,2,"-"
"346","b",337,7,"u","g","e","z",0,"f","f",0,"f","g",2,12,"-"
"348","b",116,4.5,"y","p","c","bb",2.5,"f","f",0,"f","g",69,1210,"-"
"349","b",338,0.54,"u","g","c","v",0.585,"t","t",3,"t","g",64,0,"-"
"350","b",127,1.5,"u","g","w","v",2.25,"f","t",1,"t","g",33,3,"-"
"351","a",110,2,"u","g","j","j",0,"f","f",0,"t","g",97,1,"-"
"352","b",67,0.585,"y","p","ff","ff",0,"f","f",0,"f","g",33,0,"-"
"353","b",71,11.5,"y","p","m","v",1.5,"f","f",0,"t","g",2,4000,"-"
"354","b",157,1.585,"u","g","d","v",0.585,"f","f",0,"t","s",2,0,"-"
"355","b",213,2,"u","g","i","v",0.25,"f","f",0,"t","g",78,0,"-"
"356","a",7,0.165,"u","g","aa","v",1,"f","t",2,"t","g",107,1,"-"
"357","b",246,1.335,"u","g","d","v",0.165,"f","f",0,"f","g",58,0,"-"
"358","a",39,0.165,"u","g","q","v",0.04,"f","f",0,"t","g",124,0,"-"
"359","b",174,3,"u","g","d","v",0.165,"f","f",0,"t","g",39,0,"-"
"360","a",214,4.71,"u","g","ff","ff",0,"f","f",0,"f","g",54,0,"-"
"361","a",151,5.5,"u","g","k","v",5.5,"f","f",0,"t","s",33,0,"-"
"362","b",78,2.5,"u","g","ff","ff",0.085,"f","f",0,"t","g",33,4208,"-"
"363","b",117,0.54,"u","g","k","ff",0,"f","f",0,"f","g",33,0,"-"
"364","b",13,0.335,"y","p","k","v",0.29,"f","f",0,"f","s",69,0,"-"
"365","b",90,2,"u","g","e","dd",0.165,"f","t",2,"f","g",107,1300,"-"
"366","b",259,1.25,"u","g","m","v",13.875,"f","t",1,"t","g",115,112,"-"
"367","a",74,6.165,"u","g","aa","v",0.165,"f","f",0,"f","g",77,1000,"-"
"368","b",234,1.71,"y","p","m","v",0.165,"f","f",0,"f","s",131,0,"-"
"369","a",84,11.5,"y","p","k","h",3,"f","f",0,"t","g",4,16,"-"
"370","b",58,0.75,"y","p","r","n",0.75,"f","f",0,"t","g",44,2,"-"
"371","b",179,2.5,"y","p","w","v",7,"f","f",0,"t","g",98,0,"-"
"372","b",112,13,"u","g","e","dd",0,"f","f",0,"t","g",46,1110,"-"
"373","a",269,4.585,"u","g","k","h",1,"f","f",0,"t","s",86,0,"-"
"374","b",111,1.54,"u","g","w","v",0.125,"f","f",0,"f","g",33,0,"-"
"376","a",52,0.5,"y","p","e","dd",1,"f","f",0,"f","g",92,0,"-"
"377","b",136,14.5,"u","g","d","v",0.125,"f","f",0,"f","g",2,286,"-"
"378","b",50,0.835,"y","p","c","v",2,"f","f",0,"t","s",86,0,"-"
"379","b",192,1.335,"u","g","i","bb",0.125,"f","f",0,"t","g",141,4500,"-"
"380","b",184,0.25,"u","g","i","bb",4,"f","f",0,"t","s",136,0,"-"
"381","b",262,5,"u","g","i","bb",2.25,"f","f",0,"t","g",47,0,"-"
"382","a",73,7,"u","g","c","v",0.165,"f","f",0,"f","g",54,0,"-"
"383","a",89,2.5,"y","p","i","bb",4.5,"f","f",0,"f","g",69,456,"-"
"384","a",322,4.25,"y","p","ff","ff",5,"f","f",0,"t","g",2,4,"-"
"385","b",66,11.46,"u","g","k","v",1.585,"f","f",0,"t","g",33,1212,"-"
"386","b",188,5.5,"y","p","c","v",1.5,"f","f",0,"t","g",19,0,"-"
"387","b",72,1.5,"y","p","aa","v",0.54,"f","f",0,"t","g",39,67,"-"
"388","b",55,0,"u","g","c","v",0.5,"f","f",0,"t","s",2,0,"-"
"389","b",115,14.585,"u","g","i","bb",0,"f","f",0,"t","g",63,0,"-"
"390","b",76,0.17,"u","g","m","v",0.085,"f","f",0,"f","s",2,0,"-"
"391","b",3,7,"u","g","e","v",1,"f","f",0,"f","g",161,0,"-"
"392","b",238,5,"u","g","i","bb",0.21,"f","f",0,"f","g",158,0,"-"
"393","b",123,12.5,"u","g","aa","bb",0.25,"f","f",0,"t","g",165,0,"-"
"394","b",93,0.54,"u","g","m","v",1,"f","f",0,"t","g",39,1,"-"
"395","b",246,1.25,"y","p","w","v",0.25,"f","f",0,"f","g",2,195,"-"
"396","a",180,1.625,"u","g","d","v",0.54,"f","f",0,"t","g",2,0,"-"
"397","b",146,2.04,"y","p","x","h",0.04,"f","f",0,"f","g",41,1,"-"
"398","a",84,0.585,"y","p","ff","ff",0.125,"f","f",0,"f","g",39,87,"-"
"399","b",110,12.5,"y","p","k","h",1.25,"f","f",0,"t","g",2,17,"-"
"400","b",159,2.085,"u","g","c","v",0.085,"f","f",0,"f","g",102,0,"-"
"401","b",51,5.085,"y","p","j","v",0.29,"f","f",0,"f","g",46,184,"-"
"402","b",138,0.375,"u","g","c","v",0.29,"f","f",0,"f","g",77,140,"-"
"403","a",303,6.5,"u","g","i","bb",3.085,"f","f",0,"t","g",22,0,"-"
"404","a",73,0.335,"u","g","q","v",0.75,"f","f",0,"f","s",54,0,"-"
"405","b",188,5.085,"y","p","i","bb",1.085,"f","f",0,"t","g",149,0,"-"
"406","a",345,6,"u","g","ff","ff",0,"f","f",0,"f","s",2,0,"-"
"408","a",40,0.665,"y","p","c","v",1,"f","t",1,"f","g",171,2,"-"
"409","b",7,3.125,"u","g","w","v",0.085,"f","t",1,"f","g",2,6,"-"
"410","b",14,0.25,"u","g","q","v",0.335,"f","t",4,"f","g",54,8,"-"
"411","b",161,2.835,"u","g","ff","ff",0,"f","t",5,"f","g",62,146,"-"
"412","b",98,3,"u","g","c","v",1.25,"f","t",1,"f","g",2,22,"-"
"413","a",73,0.79,"u","g","i","v",0.085,"f","f",0,"f","g",48,0,"-"
"414","b",242,1.5,"u","g","i","bb",0,"f","f",0,"f","s",102,0,"-"
"415","b",68,0.46,"u","g","k","v",0.125,"f","f",0,"t","g",98,55,"-"
"416","a",68,1.25,"y","p","ff","ff",3.25,"f","f",0,"f","g",98,0,"-"
"417","b",71,0.125,"y","p","k","v",0.125,"f","f",0,"f","g",69,70,"-"
"418","b",84,1.79,"u","g","c","v",0.54,"f","f",0,"t","g",45,1,"-"
"419","b",224,0.705,"u","g","c","v",0.375,"f","t",2,"f","g",80,500,"-"
"420","a",114,2.54,"y","p","ff","ff",0,"f","f",0,"t","g",64,60,"-"
"421","b",199,2.5,"u","g","i","v",1,"f","f",0,"t","g",73,0,"-"
"422","b",48,1.085,"u","g","q","v",1.5,"f","f",0,"f","g",35,7,"-"
"423","b",141,1.25,"u","g","w","v",1.75,"f","f",0,"f","g",69,0,"-"
"424","b",110,0.835,"u","g","cc","v",1.165,"f","f",0,"f","g",33,0,"-"
"425","b",185,2.165,"u","g","c","v",1.5,"f","f",0,"f","p",39,0,"-"
"426","b",92,1.25,"u","g","c","v",0.25,"f","f",0,"f","g",36,0,"-"
"427","a",125,2.04,"u","g","w","v",0.25,"f","f",0,"t","g",64,50,"-"
"428","b",218,0.835,"u","g","e","v",0.04,"f","f",0,"f","g",39,5,"-"
"429","b",292,2.29,"u","g","ff","ff",0.29,"f","f",0,"f","g",69,3,"-"
"430","b",184,0.335,"y","p","cc","v",0.085,"f","f",0,"f","g",64,0,"-"
"431","b",302,3,"y","p","ff","ff",1.5,"f","f",0,"f","g",64,4,"-"
"432","b",76,3.165,"y","p","c","v",0.165,"f","f",0,"f","g",54,1058,"-"
"433","b",63,1.54,"u","g","k","v",0.085,"f","f",0,"t","g",116,0,"-"
"434","b",99,1,"u","g","aa","v",0.5,"f","f",0,"f","g",69,0,"-"
"435","b",329,2.71,"u","g","c","v",2.415,"f","f",0,"t","g",107,0,"-"
"436","b",35,0,"y","p","ff","ff",0,"f","t",4,"f","g",14,1,"-"
"437","b",40,0.585,"u","g","ff","ff",0,"f","t",3,"f","g",114,769,"-"
"438","a",309,0.165,"u","g","ff","ff",0,"f","f",0,"t","s",20,27,"-"
"439","a",120,1.25,"u","g","ff","ff",0,"f","t",1,"f","g",28,300,"-"
"440","b",107,0.875,"u","g","k","v",0.375,"f","t",2,"t","g",61,3,"-"
"441","b",78,0,"u","g","k","v",1,"f","t",11,"f","s",2,0,"-"
"442","b",236,5,"u","g","ff","ff",0,"f","t",2,"f","g",3,1,"-"
"443","b",155,2.71,"y","p","m","v",0.125,"f","f",0,"t","s",25,0,"-"
"444","b",15,3,"u","g","k","v",0.04,"f","f",0,"t","g",54,40,"-"
"445","a",20,0,"y","p","j","ff",0,"f","f",0,"f","g",26,0,"-"
"447","b",12,0.125,"u","g","c","v",0.165,"f","f",0,"f","g",44,0,"-"
"448","a",122,1.665,"u","g","ff","ff",0,"f","f",0,"f","g",111,1,"-"
"449","b",161,1.125,"u","g","ff","ff",0,"f","t",1,"f","g",31,19,"-"
"450","b",43,7,"u","g","c","v",0.5,"f","f",0,"f","g",2,0,"-"
"452","b",235,1.625,"u","g","c","v",1.5,"f","f",0,"f","g",2,316,"-"
"453","b",211,4.25,"u","g","q","v",3.5,"f","f",0,"f","g",144,50,"-"
"455","b",306,1.5,"u","g","d","v",3.75,"f","f",0,"t","g",2,350,"-"
"456","b",207,18.125,"u","g","w","v",0.085,"f","f",0,"f","g",107,3552,"-"
"458","b",144,0.75,"y","p","c","v",0.04,"f","f",0,"f","g",86,0,"-"
"459","b",207,5.5,"u","g","i","bb",5,"f","f",0,"f","g",73,687,"-"
"460","b",104,0.29,"y","p","c","v",1.5,"f","f",0,"t","g",54,0,"-"
"461","a",91,2.415,"y","p","c","v",0,"f","f",0,"f","g",39,0,"-"
"462","b",87,0.875,"u","g","m","v",0.085,"f","t",4,"f","g",90,1950,"-"
"463","b",64,0.5,"u","g","c","v",0.125,"f","f",0,"f","g",117,0,"-"
"464","a",212,0.29,"u","g","ff","ff",0,"f","t",10,"f","g",69,18,"-"
"465","a",77,1.835,"u","g","j","j",0,"f","t",1,"f","g",69,53,"-"
"466","a",124,3,"u","g","m","v",2.79,"f","t",1,"t","g",98,10,"-"
"467","b",160,3.085,"u","g","c","v",2.5,"f","t",2,"t","g",54,41,"-"
"468","a",153,1.375,"u","g","w","h",0.04,"f","t",3,"f","g",2,33,"-"
"469","b",66,2.335,"u","g","k","v",0.75,"f","f",0,"f","g",64,0,"-"
"470","b",11,4.085,"u","g","i","h",0.415,"f","f",0,"t","g",39,0,"-"
"471","a",64,11.665,"u","g","k","h",0.085,"f","f",0,"f","g",107,5,"-"
"472","b",54,4.125,"y","p","i","h",0.04,"f","f",0,"f","g",46,100,"-"
"473","b",17,6.5,"u","g","i","v",0.125,"f","f",0,"f","g",19,100,"-"
"474","b",36,4,"y","p","i","v",1,"f","f",0,"t","g",117,1000,"-"
"475","b",50,0.415,"u","g","c","v",0.125,"f","f",0,"f","g",2,44,"-"
"476","b",116,2,"u","g","d","v",0.75,"f","f",0,"t","g",25,0,"-"
"477","b",84,0.835,"u","g","i","h",0.085,"f","f",0,"t","g",77,5,"-"
"478","b",231,2.5,"y","p","i","h",10,"f","f",0,"t","s",69,0,"-"
"479","b",74,11.5,"u","g","i","v",0.415,"f","f",0,"f","g",2,0,"-"
"481","a",13,0.5,"u","g","i","v",0.165,"f","t",6,"t","g",86,35,"-"
"482","b",83,3.165,"y","p","k","v",0.415,"f","t",1,"t","g",98,80,"-"
"483","a",16,9.5,"u","g","aa","v",1.75,"f","t",10,"t","g",2,10,"-"
"484","b",85,0.415,"y","p","c","v",0.04,"f","t",2,"f","g",41,6,"-"
"485","b",195,1.08,"u","g","m","v",1.165,"f","f",0,"f","s",8,0,"-"
"486","b",348,19,"y","p","ff","ff",0.04,"f","t",2,"f","g",2,351,"-"
"487","b",130,0.125,"y","p","k","v",0.085,"f","f",0,"f","g",76,2100,"-"
"488","b",91,13.335,"y","p","aa","v",0.04,"f","f",0,"t","g",39,475,"-"
"489","b",33,3.54,"y","p","ff","ff",0,"f","f",0,"t","g",64,1,"-"
"491","a",278,0.75,"u","g","q","h",2.75,"t","t",1,"f","g",110,892,"+"
"492","b",88,0.875,"u","g","q","v",4.625,"t","t",2,"t","g",156,2000,"+"
"493","b",232,9.5,"u","g","m","v",6.5,"t","t",14,"f","g",86,4607,"+"
"494","a",49,11.835,"u","g","c","h",6,"t","f",0,"f","g",111,0,"+"
"495","a",33,4.415,"y","p","c","h",3,"t","f",0,"f","g",86,0,"+"
"496","b",36,9.5,"u","g","w","v",1.5,"t","f",0,"f","g",39,2206,"+"
"497","a",96,0.875,"u","g","x","h",1.04,"t","f",0,"t","g",54,5860,"+"
"498","b",45,9.25,"u","g","c","v",1.665,"t","t",3,"t","g",12,28,"+"
"499","b",105,0.5,"u","g","c","v",1.46,"t","t",5,"t","g",106,0,"+"
"500","b",48,7,"u","g","c","v",1.625,"t","t",3,"f","g",69,1391,"+"
"502","b",229,5,"u","g","cc","v",3.5,"t","t",10,"t","g",2,0,"+"
"503","a",339,0.165,"u","g","ff","ff",0,"t","t",1,"f","g",84,100,"+"
"504","b",131,5.125,"u","g","x","v",4.75,"t","t",2,"f","g",136,7,"+"
"505","a",137,3.75,"u","g","c","v",1.085,"t","t",1,"t","g",121,0,"+"
"506","b",162,19.5,"u","g","c","v",7,"t","t",16,"f","g",2,5000,"+"
"507","a",34,9,"u","g","aa","v",0.75,"t","t",2,"f","g",27,591,"+"
"508","a",93,3,"u","g","q","h",1.835,"t","t",19,"f","g",2,500,"+"
"509","a",156,12,"u","g","c","v",2,"t","t",1,"f","g",77,19,"+"
"510","b",53,4.79,"y","p","w","v",2.25,"t","t",1,"t","g",25,300,"+"
"511","b",2,4,"y","p","w","v",1.75,"t","t",2,"t","g",39,1000,"+"
"512","a",273,4,"u","g","j","j",0,"t","f",0,"f","g",33,960,"+"
"513","a",267,0,"u","g","c","v",2.5,"t","f",0,"f","g",2,0,"+"
"514","b",46,9.96,"u","g","e","dd",0,"t","f",0,"f","g",2,0,"+"
"515","b",73,2.54,"y","p","c","h",2.585,"t","f",0,"f","g",2,0,"+"
"517","a",335,5,"u","g","aa","v",4,"t","t",4,"f","g",2,99,"+"
"518","b",8,0.75,"u","g","c","v",1.75,"t","t",5,"t","g",115,690,"+"
"519","a",130,0.375,"u","g","q","v",0.585,"t","t",4,"f","g",25,0,"+"
"520","b",231,1.71,"u","g","x","v",0.125,"t","t",5,"t","g",149,0,"+"
"522","a",148,5.29,"u","g","e","dd",2.25,"t","t",5,"t","g",32,500,"+"
"523","b",75,3,"u","g","m","v",1.29,"t","t",1,"f","g",92,800,"+"
"524","a",71,8.5,"u","g","q","v",1.75,"t","t",10,"f","g",25,990,"-"
"525","a",135,1.665,"u","g","q","v",2.415,"t","f",0,"t","g",141,0,"-"
"526","b",270,1.5,"u","g","c","v",2.5,"t","f",0,"t","g",46,0,"-"
"527","b",250,1.75,"u","g","k","v",0.21,"t","f",0,"f","g",54,0,"-"
"528","a",323,0.335,"u","g","i","bb",1,"t","f",0,"t","g",88,2197,"-"
"529","a",315,7.08,"u","g","k","h",6.75,"t","t",3,"t","g",33,50,"-"
"530","b",263,25.21,"u","g","q","h",0.21,"t","t",1,"f","g",166,90,"-"
"531","a",100,2.085,"u","g","c","h",2.75,"t","f",0,"t","g",117,1,"-"
"532","a",92,0.67,"u","g","aa","h",1.75,"t","f",0,"f","g",131,0,"-"
"533","b",262,2.25,"u","g","i","bb",0.75,"t","f",0,"f","g",159,0,"-"
"534","b",244,0.835,"u","g","ff","ff",0,"t","f",0,"f","g",43,1,"-"
"535","b",167,2.5,"u","g","aa","v",7.5,"t","f",0,"t","g",157,0,"-"
"536","a",187,1.585,"y","p","ff","ff",0,"t","f",0,"f","g",107,0,"-"
"537","a",95,1.25,"u","g","ff","ff",0,"t","f",0,"f","g",25,0,"-"
"538","b",201,3.165,"u","g","x","h",3.75,"t","f",0,"t","g",163,0,"-"
"539","b",191,1.75,"u","g","w","bb",0.25,"t","f",0,"t","g",55,0,"-"
"541","b",38,1.5,"y","p","cc","v",2,"t","f",0,"t","g",33,20,"-"
"542","b",258,3,"u","g","i","bb",1,"t","f",0,"f","g",2,200,"-"
"543","b",41,10,"y","p","k","h",0.835,"t","f",0,"t","g",46,0,"-"
"544","b",209,3.79,"u","g","w","v",1.165,"t","f",0,"t","g",69,0,"-"
"545","b",149,1.04,"y","p","i","bb",0.5,"t","t",10,"t","g",44,28,"-"
"546","b",266,11,"y","p","d","v",1.5,"t","f",0,"f","s",2,0,"-"
"547","b",84,0.46,"y","p","w","v",2.625,"t","t",6,"t","g",72,347,"-"
"548","b",86,1.5,"u","g","d","h",1.875,"t","t",6,"f","g",69,327,"+"
"549","b",181,1,"u","g","x","v",0.75,"t","t",7,"t","g",111,4071,"+"
"550","b",287,12,"u","g","m","v",16,"t","f",0,"f","s",36,0,"+"
"551","b",349,22.29,"u","g","e","z",12.75,"t","t",1,"t","g",2,109,"+"
"552","b",299,10,"u","g","i","bb",0,"t","t",11,"f","g",2,1249,"+"
"553","b",196,15,"u","g","r","n",5.375,"t","t",9,"t","g",2,134,"+"
"554","b",225,3.335,"u","g","w","v",4,"t","t",14,"f","g",126,1344,"+"
"555","a",70,11.25,"y","p","x","h",0.75,"t","t",4,"f","g",2,321,"+"
"556","b",252,0.42,"u","g","c","h",0.21,"t","t",6,"f","g",77,948,"+"
"557","b",143,4.5,"u","g","w","v",7.5,"t","t",2,"t","g",109,0,"+"
"558","a",171,1.46,"u","g","w","v",1.085,"t","t",16,"f","g",39,2079,"+"
"559","b",300,0.04,"u","g","x","h",0.04,"t","f",0,"f","g",2,3000,"+"
"560","a",75,2.29,"u","g","q","h",2.29,"t","t",7,"t","g",46,2384,"+"
"561","a",96,12.33,"u","g","cc","h",3.5,"t","t",6,"f","g",131,458,"+"
"562","b",116,1.125,"u","g","x","h",1.25,"t","f",0,"f","g",2,5298,"+"
"563","b",81,1.5,"u","g","c","h",1.415,"t","f",0,"f","g",137,200,"+"
"564","b",90,12.335,"u","g","q","h",1.585,"t","f",0,"t","g",39,0,"+"
"565","b",255,5.04,"u","g","q","h",12.75,"t","f",0,"t","g",28,0,"+"
"566","a",52,3,"u","g","aa","v",0.04,"t","f",0,"f","g",33,0,"+"
"567","b",78,11.5,"u","g","w","h",2.125,"t","t",11,"t","g",100,284,"+"
"568","a",98,2.875,"u","g","x","h",0.875,"t","f",0,"f","g",117,0,"+"
"569","b",261,0.375,"y","p","c","v",0.375,"t","t",8,"t","g",102,162,"+"
"570","a",204,0.915,"u","g","aa","v",0.75,"t","t",4,"f","g",2,1583,"+"
"571","b",331,2.75,"u","g","w","v",1.75,"t","t",5,"t","g",19,58,"+"
"572","b",53,3,"y","p","d","v",1.085,"t","t",8,"t","g",54,1,"+"
"573","b",64,0.54,"y","p","x","v",0.04,"t","t",1,"t","g",167,59,"+"
"574","a",340,14,"u","g","ff","ff",0,"t","t",11,"t","g",2,1400,"+"
"575","a",47,10,"u","g","c","h",1,"t","t",4,"f","g",16,1465,"+"
"576","b",172,0.165,"y","p","c","h",3.25,"t","t",1,"t","g",139,8000,"+"
"577","b",150,0.5,"u","g","c","v",1.75,"t","t",11,"f","g",11,540,"+"
"578","b",98,6,"u","g","c","v",1,"t","t",3,"f","g",2,0,"+"
"579","b",231,1.625,"u","g","c","v",1.5,"t","t",10,"f","g",66,4700,"+"
"580","b",230,6,"u","g","m","v",1.29,"t","t",5,"t","g",35,1097,"+"
"581","b",165,0.83,"u","g","x","v",1.335,"t","t",8,"t","g",103,3290,"+"
"582","b",245,0.04,"u","g","e","v",0.04,"f","t",1,"f","s",159,0,"+"
"583","b",288,4.25,"u","g","m","v",0.125,"t","f",0,"t","g",80,0,"+"
"584","b",175,9,"y","p","w","h",5.25,"t","f",0,"t","g",52,0,"+"
"585","a",129,15,"y","p","e","z",0,"t","f",0,"f","g",2,13212,"+"
"586","b",347,17.75,"u","g","ff","ff",0,"t","f",0,"t","g",2,0,"+"
"587","b",339,20,"u","g","x","h",17.5,"t","t",9,"t","g",2,1000,"+"
"588","b",301,15,"u","g","c","v",8.5,"t","t",9,"f","g",2,0,"+"
"589","b",115,1.75,"y","p","c","v",1,"t","t",5,"t","g",54,5777,"+"
"590","b",100,0.58,"u","g","c","v",0.29,"t","t",7,"t","g",31,5124,"+"
"591","b",150,6.5,"u","g","cc","v",3.125,"t","t",8,"f","g",109,1200,"+"
"592","b",119,0.75,"u","g","c","h",4.25,"t","t",3,"t","g",106,150,"+"
"594","b",190,5.25,"u","g","w","v",0.085,"f","f",0,"t","g",100,6,"+"
"595","b",226,0.21,"u","g","k","v",0.085,"t","f",0,"t","g",98,0,"+"
"596","b",105,0.75,"u","g","c","bb",0.25,"t","f",0,"f","g",113,23,"+"
"597","a",274,3,"u","g","c","v",2.375,"t","t",8,"t","g",129,4159,"+"
"598","a",59,6,"u","g","aa","v",2.5,"t","t",3,"f","g",25,918,"+"
"600","b",49,2.415,"u","g","c","v",2,"t","t",11,"t","g",69,3000,"+"
"601","a",142,0.46,"u","g","k","v",0.54,"t","t",4,"f","g",124,500,"+"
"603","b",146,1.25,"y","p","k","v",0.25,"f","f",0,"f","g",79,0,"-"
"604","b",44,0.25,"u","g","q","v",0.125,"f","f",0,"f","g",69,0,"-"
"605","b",82,0.585,"u","g","c","h",0.085,"t","f",0,"f","g",64,0,"-"
"606","a",143,1.75,"y","p","k","v",1.25,"f","f",0,"t","g",98,0,"-"
"607","b",9,0.04,"u","g","c","v",0.04,"f","f",0,"f","g",2,0,"+"
"608","b",173,3.5,"u","g","k","v",0.5,"f","f",0,"t","g",84,0,"-"
"610","b",283,4.165,"u","g","x","bb",0.085,"f","f",0,"t","g",156,0,"-"
"611","b",43,1.25,"y","p","k","v",0.125,"f","f",0,"f","g",46,4,"-"
"612","b",124,3.25,"y","p","q","h",5.085,"f","t",2,"t","g",119,1,"-"
"613","b",65,0.79,"u","g","w","v",0.29,"f","t",1,"f","g",136,283,"-"
"614","b",37,10.915,"u","g","c","bb",0.585,"f","t",2,"t","g",69,7,"-"
"615","a",223,4.415,"u","g","c","v",0.125,"f","f",0,"f","g",54,0,"-"
"616","b",141,1.25,"u","g","c","h",0.25,"f","t",2,"t","g",131,108,"-"
"617","b",73,0.75,"u","g","i","v",1.585,"f","t",1,"t","g",131,9,"-"
"618","b",172,14,"y","p","ff","ff",0,"f","t",2,"f","g",54,1,"-"
"619","b",143,4.75,"u","g","m","v",2,"f","t",1,"t","g",146,68,"-"
"620","b",28,10.415,"y","p","aa","v",0.125,"t","f",0,"f","g",39,375,"-"
"621","b",67,2.25,"u","g","i","v",0.125,"f","f",0,"f","g",54,10,"-"
"622","b",73,0.165,"u","g","c","j",2.25,"f","f",0,"t","s",2,0,"+"
"624","b",33,0,"u","g","q","v",0.665,"f","f",0,"f","g",54,1,"-"
"625","b",60,0.79,"y","p","cc","v",0.665,"f","f",0,"f","g",54,0,"-"
"626","b",85,12,"u","g","c","v",2.085,"f","f",0,"f","s",25,0,"-"
"628","b",206,2.54,"u","g","ff","ff",0,"f","f",0,"f","g",2,1000,"-"
"629","b",140,13,"u","g","d","h",0.5,"f","f",0,"f","g",81,0,"-"
"630","a",40,0.665,"u","g","w","v",1.665,"f","f",0,"f","g",77,5,"-"
"631","a",76,1.25,"u","g","q","v",0.25,"f","f",0,"t","g",39,809,"-"
"632","a",121,0.29,"u","g","m","h",0.125,"f","t",1,"t","g",95,108,"-"
"633","a",227,1.5,"u","g","ff","ff",0,"f","f",0,"f","g",24,0,"-"
"634","b",174,2.165,"y","p","k","ff",0,"f","f",0,"f","g",39,0,"-"
"635","a",85,0.71,"u","g","w","v",0.25,"f","t",1,"t","g",86,4,"-"
"636","b",25,2.46,"u","g","c","n",0.96,"f","t",2,"t","g",54,587,"-"
"637","b",244,0.5,"y","p","m","v",0.5,"f","f",0,"t","g",43,0,"-"
"638","b",39,9.585,"u","g","aa","v",0.79,"f","f",0,"f","g",25,350,"-"
"639","b",135,3.625,"u","g","aa","v",0.25,"f","f",0,"t","g",33,0,"-"
"640","b",203,0.75,"u","g","k","v",1.5,"f","f",0,"t","g",83,0,"-"
"641","b",190,2.75,"u","g","i","bb",2.5,"f","f",0,"t","g",84,200,"-"
"643","b",164,0.75,"y","p","aa","v",3.5,"f","f",0,"t","g",107,0,"-"
"644","a",307,7,"u","g","aa","h",3,"f","f",0,"f","g",2,0,"-"
"645","b",207,0.42,"y","p","w","v",0.29,"f","f",0,"t","g",104,2,"-"
"646","b",216,2.665,"u","g","cc","v",0.165,"f","f",0,"t","g",2,501,"-"
"647","a",52,8.5,"u","g","c","v",0.165,"f","f",0,"f","g",2,351,"-"
"648","b",87,9,"u","g","aa","v",0.25,"f","f",0,"t","g",2,0,"-"
"649","b",103,0.335,"u","g","k","h",3.5,"f","f",0,"t","g",111,0,"-"
"650","a",200,3.75,"u","g","ff","ff",0,"f","t",6,"f","g",2,200,"-"
"651","b",284,3.75,"u","g","i","bb",1,"f","f",0,"f","g",33,2,"-"
"652","a",5,7.625,"u","g","q","v",0.125,"f","t",1,"t","g",2,160,"-"
"653","a",71,0.415,"u","g","i","v",0.335,"f","f",0,"t","s",48,0,"-"
"654","b",59,11.5,"u","g","i","v",0.5,"t","f",0,"t","g",33,68,"-"
"655","a",84,0.83,"u","g","q","v",0.415,"f","t",1,"t","g",69,11,"-"
"656","a",54,5,"y","p","ff","ff",0,"f","f",0,"f","g",2,0,"-"
"657","b",104,3.25,"u","g","c","h",2.29,"f","t",1,"t","g",135,21,"-"
"658","a",228,1.665,"u","g","aa","v",0.25,"f","f",0,"f","g",2,390,"-"
"659","a",4,0.375,"u","g","c","v",1,"f","f",0,"f","g",39,18,"-"
"660","a",135,3.75,"u","g","c","v",0.25,"f","t",1,"t","g",12,154,"-"
"661","b",68,9,"u","g","aa","v",0.085,"f","f",0,"f","g",2,0,"-"
"662","b",146,3.5,"u","g","c","v",0.165,"f","f",0,"f","g",76,0,"-"
"663","a",83,1.5,"u","g","w","v",0.875,"f","f",0,"t","g",54,0,"-"
"664","b",170,4,"y","p","cc","v",1.5,"f","f",0,"t","g",39,0,"-"
"665","b",160,1.5,"y","p","w","v",0.04,"f","f",0,"f","s",54,0,"-"
"666","b",167,0.04,"y","p","m","v",0.04,"f","f",0,"f","g",2,0,"-"
"667","a",62,11.75,"u","g","c","v",0.25,"f","f",0,"t","g",64,0,"-"
"668","a",22,0.54,"u","g","c","v",1.75,"f","t",1,"t","g",25,5,"-"
"669","b",152,0.5,"u","g","d","h",0.085,"f","f",0,"t","s",88,0,"-"
"670","b",302,2.04,"y","p","ff","ff",1.5,"f","f",0,"f","g",39,1,"-"
"671","b",277,5.835,"u","g","w","v",5.5,"f","f",0,"f","g",147,150,"-"
"672","b",106,12.835,"u","g","cc","v",0.5,"f","f",0,"f","g",2,2,"-"
"673","a",297,0.835,"u","g","aa","v",0.5,"f","f",0,"t","g",86,117,"-"
